SEQUENCE_GISAID_STRAIN,SEQUENCE_REPOSITORY,SEQUENCE_GISAID_ACCESSION,SEQUENCE_GENBANK_ACCESSION,SEQUENCE_SPECIMEN_COLLECTION_DATE,COUNTY_NAME
USA/WA-PHL-032722/2023,GISAID; GenBank,EPI_ISL_17012990,PQ372667.1,2023-02-09,Grays Harbor County
USA/WA-PHL-035277/2024,GISAID; GenBank,EPI_ISL_19122257,PP845911.1,2024-02-20,Grays Harbor County
USA/WA-PHL-032731/2023,GISAID; GenBank,EPI_ISL_17509634,PQ372676.1,2023-02-10,Grays Harbor County
USA/WA-PHL-032717/2023,GISAID; GenBank,EPI_ISL_17012986,PQ372663.1,2023-02-08,Grays Harbor County
USA/WA-CDC-UW23110586718/2023,GISAID; GenBank,EPI_ISL_18528531,OR832373.1,2023-11-05,Grays Harbor County
USA/WA-CDC-QDX81999953/2023,GISAID; GenBank,EPI_ISL_17976625,OR247614.1,2023-06-21,Grays Harbor County
USA/WA-PHL-033539/2023,GISAID; GenBank,EPI_ISL_17998752,PQ372866.1,2023-06-21,Grays Harbor County
USA/WA-PHL-033105/2023,GISAID; GenBank,EPI_ISL_17509760,PQ372792.1,2023-04-06,Grays Harbor County
USA/WA-PHL-032885/2023,GISAID; GenBank,EPI_ISL_17258776,PQ386112.1,2023-02-24,Grays Harbor County
USA/WA-PHL-032515/2023,GISAID; GenBank,EPI_ISL_17012819,PQ372488.1,2023-02-03,Grays Harbor County
USA/WA-PHL-035184/2024,GISAID; GenBank,EPI_ISL_18856574,PQ143051.1,2024-01-08,Grays Harbor County
USA/WA-PHL-034902/2023,GISAID; GenBank,EPI_ISL_18384301,OR680228.1,2023-09-21,Grays Harbor County
USA/WA-PHL-034857/2023,GISAID,EPI_ISL_19122226,,2023-08-30,Grays Harbor County
USA/WA-PHL-033070/2023,GISAID; GenBank,EPI_ISL_17509728,PQ372764.1,2023-02-28,Grays Harbor County
USA/WA-PHL-034853/2023,GISAID; GenBank,EPI_ISL_18384258,OR680182.1,2023-08-31,Grays Harbor County
USA/WA-PHL-032866/2023,GISAID; GenBank,EPI_ISL_17258762,PQ386094.1,2023-02-21,Grays Harbor County
USA/WA-CDC-QDX48685526/2023,GISAID; GenBank,EPI_ISL_17486237,OQ827301.1,2023-03-31,Grays Harbor County
USA/WA-PHL-034647/2023,GISAID; GenBank,EPI_ISL_18074188,PQ372912.1,2023-02-07,Grays Harbor County
USA/WA-PHL-032876/2023,GISAID; GenBank,EPI_ISL_17258772,PQ386104.1,2023-02-21,Grays Harbor County
USA/WA-PHL-034874/2023,GISAID; GenBank,EPI_ISL_18384276,OR680201.1,2023-09-11,Grays Harbor County
USA/WA-PHL-032880/2023,GISAID; GenBank,EPI_ISL_17509637,PQ372680.1,2023-02-22,Grays Harbor County
USA/WA-PHL-034897/2023,GISAID; GenBank,EPI_ISL_18384296,OR680223.1,2023-09-18,Grays Harbor County
USA/WA-PHL-032304/2023,GISAID; GenBank,EPI_ISL_16755958,PQ372302.1,2023-01-18,Grays Harbor County
USA/WA-PHL-033890/2023,,,,2023-04-18,Grays Harbor County
USA/WA-PHL-032864/2023,GISAID; GenBank,EPI_ISL_17258760,PQ386092.1,2023-02-16,Grays Harbor County
USA/WA-PHL-034886/2023,GISAID; GenBank,EPI_ISL_18384286,OR680212.1,2023-09-14,Grays Harbor County
USA/WA-PHL-034895/2023,GISAID; GenBank,EPI_ISL_18384295,OR680221.1,2023-09-18,Grays Harbor County
USA/WA-PHL-033084/2023,GISAID; GenBank,EPI_ISL_17509740,PQ372776.1,2023-03-29,Grays Harbor County
USA/WA-PHL-032708/2023,GISAID; GenBank,EPI_ISL_17012979,PQ372656.1,2023-02-07,Grays Harbor County
USA/WA-PHL-034887/2023,GISAID; GenBank,EPI_ISL_18384287,OR680213.1,2023-09-15,Grays Harbor County
USA/WA-PHL-035196/2024,GISAID; GenBank,EPI_ISL_18856585,PQ143062.1,2024-01-18,Grays Harbor County
USA/WA-PHL-035199/2024,GISAID; GenBank,EPI_ISL_18856588,PQ143065.1,2024-01-19,Grays Harbor County
USA/WA-PHL-033048/2023,GISAID; GenBank,EPI_ISL_17509712,PQ372744.1,2023-03-15,Grays Harbor County
USA/WA-PHL-034597/2023,GISAID; GenBank,EPI_ISL_18055104,PQ403529.1,2023-07-21,Grays Harbor County
USA/WA-PHL-032988/2023,GISAID; GenBank,EPI_ISL_17258781,PQ386174.1,2023-03-01,Grays Harbor County
USA/WA-PHL-034695/2023,GISAID; GenBank,EPI_ISL_18102621,PQ403557.1,2023-08-08,Grays Harbor County
USA/WA-CDC-UW23032876437/2023,GISAID; GenBank,EPI_ISL_17431152,OQ799154.1,2023-03-28,Grays Harbor County
USA/WA-PHL-033536/2023,GISAID; GenBank,EPI_ISL_17998749,PQ372863.1,2023-06-08,Grays Harbor County
USA/WA-PHL-032723/2023,GISAID; GenBank,EPI_ISL_17012991,PQ372668.1,2023-02-09,Grays Harbor County
USA/WA-PHL-033008/2023,GISAID; GenBank,EPI_ISL_17509677,PQ372710.1,2023-03-20,Grays Harbor County
USA/WA-CDC-QDX22308415/2024,,,,2024-08-13,Grays Harbor County
USA/WA-PHL-034651/2023,GISAID; GenBank,EPI_ISL_18074190,PQ372914.1,2023-02-08,Grays Harbor County
USA/WA-PHL-034845/2023,GISAID; GenBank,EPI_ISL_18384250,OR680174.1,2023-08-21,Grays Harbor County
USA/WA-PHL-034698/2023,GISAID; GenBank,EPI_ISL_18102623,PQ403560.1,2023-08-07,Grays Harbor County
USA/WA-PHL-032875/2023,GISAID; GenBank,EPI_ISL_17258771,PQ386103.1,2023-02-21,Grays Harbor County
USA/WA-PHL-033037/2023,GISAID; GenBank,EPI_ISL_17509703,PQ372734.1,2023-03-13,Grays Harbor County
USA/WA-PHL-035180/2024,GISAID; GenBank,EPI_ISL_19122234,PP845887.1,2024-01-08,Grays Harbor County
USA/WA-PHL-032861/2023,GISAID; GenBank,EPI_ISL_17258759,PQ386089.1,2023-02-16,Grays Harbor County
USA/WA-PHL-033886/2023,,,,2023-02-15,Grays Harbor County
USA/WA-PHL-034569/2023,,,,2023-01-03,Grays Harbor County
USA/WA-PHL-034584/2023,GISAID; GenBank,EPI_ISL_18055093,PQ403516.1,2023-07-18,Grays Harbor County
USA/WA-PHL-035192/2024,GISAID; GenBank,EPI_ISL_18856582,PQ143059.1,2024-01-16,Grays Harbor County
USA/WA-PHL-032494/2023,GISAID; GenBank,EPI_ISL_17012799,PQ372467.1,2023-01-25,Grays Harbor County
USA/WA-CDC-UW23082072207/2023,GISAID; GenBank,EPI_ISL_18212578,OR510982.1,2023-08-20,Grays Harbor County
USA/WA-PHL-033543/2023,GISAID; GenBank,EPI_ISL_17998756,PQ372870.1,2023-06-27,Grays Harbor County
USA/WA-PHL-034599/2023,GISAID; GenBank,EPI_ISL_18055106,PQ403531.1,2023-07-21,Grays Harbor County
USA/WA-PHL-034598/2023,GISAID; GenBank,EPI_ISL_18055105,PQ403530.1,2023-07-21,Grays Harbor County
USA/WA-PHL-033532/2023,GISAID; GenBank,EPI_ISL_17998747,PQ372861.1,2023-06-02,Grays Harbor County
USA/WA-PHL-035183/2024,GISAID; GenBank,EPI_ISL_18856573,PQ143050.1,2024-01-08,Grays Harbor County
USA/WA-PHL-032707/2023,GISAID; GenBank,EPI_ISL_17012978,PQ372655.1,2023-02-07,Grays Harbor County
USA/WA-PHL-032709/2023,GISAID; GenBank,EPI_ISL_17012980,PQ372657.1,2023-02-06,Grays Harbor County
USA/WA-CDC-UW23032954898/2023,GISAID; GenBank,EPI_ISL_17431144,OQ799156.1,2023-03-29,Grays Harbor County
USA/WA-PHL-035284/2024,GISAID; GenBank,EPI_ISL_19122263,PP845917.1,2024-03-15,Grays Harbor County
USA/WA-PHL-032710/2023,GISAID; GenBank,EPI_ISL_17012981,PQ372658.1,2023-02-06,Grays Harbor County
USA/WA-PHL-034765/2023,GISAID; GenBank,EPI_ISL_18168732,OR505903.1,2023-08-09,Grays Harbor County
USA/WA-CDC-QDX47214565/2023,GISAID; GenBank,EPI_ISL_17191152,OQ609658.1,2023-02-22,Grays Harbor County
USA/WA-PHL-032303/2023,GISAID; GenBank,EPI_ISL_16755957,PQ372301.1,2023-01-17,Grays Harbor County
USA/WA-PHL-035211/2024,GISAID; GenBank,EPI_ISL_18856598,PQ143075.1,2024-01-22,Grays Harbor County
USA/WA-PHL-035169/2024,GISAID; GenBank,EPI_ISL_18856561,PQ143038.1,2024-01-04,Grays Harbor County
USA/WA-PHL-034884/2023,GISAID; GenBank,EPI_ISL_18384284,OR680210.1,2023-09-14,Grays Harbor County
USA/WA-PHL-034702/2023,GISAID; GenBank,EPI_ISL_18102626,PQ403564.1,2023-08-07,Grays Harbor County
USA/WA-PHL-034866/2023,GISAID; GenBank,EPI_ISL_18384268,OR680193.1,2023-09-07,Grays Harbor County
USA/WA-PHL-034623/2023,GISAID; GenBank,EPI_ISL_18074172,PQ372896.1,2023-07-24,Grays Harbor County
USA/WA-PHL-034710/2023,GISAID; GenBank,EPI_ISL_18102632,PQ403572.1,2023-08-08,Grays Harbor County
USA/WA-PHL-035126/2023,GISAID; GenBank,EPI_ISL_18703942,PQ385934.1,2023-12-07,Grays Harbor County
USA/WA-PHL-035133/2023,GISAID; GenBank,EPI_ISL_18703949,PQ385941.1,2023-12-14,Grays Harbor County
USA/WA-PHL-035130/2023,GISAID; GenBank,EPI_ISL_18703946,PQ385938.1,2023-12-13,Grays Harbor County
USA/WA-PHL-034680/2023,GISAID; GenBank,EPI_ISL_18102609,PQ403543.1,2023-07-28,Grays Harbor County
USA/WA-PHL-034912/2023,GISAID; GenBank,EPI_ISL_18384311,OR680238.1,2023-10-02,Grays Harbor County
USA/WA-PHL-034913/2023,GISAID; GenBank,EPI_ISL_18384312,OR680239.1,2023-10-02,Grays Harbor County
USA/WA-PHL-033009/2023,GISAID,EPI_ISL_17509678,,2023-03-20,Grays Harbor County
USA/WA-PHL-034846/2023,GISAID; GenBank,EPI_ISL_18384251,OR680175.1,2023-08-21,Grays Harbor County
USA/WA-PHL-032718/2023,GISAID; GenBank,EPI_ISL_17012987,PQ372664.1,2023-02-09,Grays Harbor County
USA/WA-PHL-035289/2024,GISAID; GenBank,EPI_ISL_19122268,PP845922.1,2024-03-26,Grays Harbor County
USA/WA-CDC-LC1077915/2023,GISAID; GenBank,EPI_ISL_18715721,PP065120.1,2023-12-13,Grays Harbor County
USA/WA-CDC-QDX20961804/2024,,,,2024-07-17,Grays Harbor County
USA/WA-PHL-032860/2023,GISAID; GenBank,EPI_ISL_17258758,PQ386088.1,2023-02-15,Grays Harbor County
USA/WA-PHL-032879/2023,GISAID; GenBank,EPI_ISL_17258774,PQ386107.1,2023-02-22,Grays Harbor County
USA/WA-PHL-034585/2023,GISAID; GenBank,EPI_ISL_18055094,PQ403517.1,2023-07-18,Grays Harbor County
USA/WA-PHL-035178/2024,GISAID; GenBank,EPI_ISL_18856569,PQ143046.1,2024-01-08,Grays Harbor County
USA/WA-PHL-035186/2024,GISAID; GenBank,EPI_ISL_18856576,PQ143053.1,2024-01-09,Grays Harbor County
USA/WA-PHL-032870/2023,GISAID; GenBank,EPI_ISL_17258766,PQ386098.1,2023-02-21,Grays Harbor County
USA/WA-PHL-032969/2023,GISAID; GenBank,EPI_ISL_17258777,PQ386157.1,2023-02-28,Grays Harbor County
USA/WA-PHL-035279/2024,GISAID; GenBank,EPI_ISL_19122259,PP845913.1,2024-02-27,Grays Harbor County
USA/WA-CDC-QDX85991791/2023,GISAID; GenBank,EPI_ISL_18404070,OR686479.1,2023-10-02,Grays Harbor County
USA/WA-PHL-032989/2023,GISAID; GenBank,EPI_ISL_17258782,PQ386175.1,2023-03-02,Grays Harbor County
USA/WA-PHL-034632/2023,GISAID; GenBank,EPI_ISL_18074181,PQ372905.1,2023-07-27,Grays Harbor County
USA/WA-PHL-033160/2023,GISAID; GenBank,EPI_ISL_17637268,PQ372839.1,2023-04-13,Grays Harbor County
USA/WA-PHL-035128/2023,GISAID; GenBank,EPI_ISL_18703944,PQ385936.1,2023-12-11,Grays Harbor County
USA/WA-PHL-035274/2024,GISAID; GenBank,EPI_ISL_19122254,PP845908.1,2024-01-23,Grays Harbor County
USA/WA-PHL-032992/2023,GISAID; GenBank,EPI_ISL_17258785,PQ386178.1,2023-03-03,Grays Harbor County
USA/WA-PHL-035135/2023,GISAID; GenBank,EPI_ISL_18703951,PQ385943.1,2023-12-18,Grays Harbor County
USA/WA-PHL-035134/2023,GISAID; GenBank,EPI_ISL_18703950,PQ385942.1,2023-12-18,Grays Harbor County
USA/WA-PHL-034890/2023,GISAID; GenBank,EPI_ISL_18384290,OR680216.1,2023-09-18,Grays Harbor County
USA/WA-PHL-032302/2023,GISAID; GenBank,EPI_ISL_16755956,PQ372300.1,2023-01-17,Grays Harbor County
USA/WA-PHL-034619/2023,GISAID; GenBank,EPI_ISL_18074168,PQ372892.1,2023-07-24,Grays Harbor County
USA/WA-PHL-034867/2023,GISAID; GenBank,EPI_ISL_18384269,OR680194.1,2023-09-07,Grays Harbor County
USA/WA-PHL-034757/2023,GISAID; GenBank,EPI_ISL_18168725,OR505895.1,2023-08-10,Grays Harbor County
USA/WA-PHL-032729/2023,GISAID; GenBank,EPI_ISL_17012997,PQ372674.1,2023-02-10,Grays Harbor County
USA/WA-PHL-033885/2023,,,,2023-02-10,Grays Harbor County
USA/WA-PHL-034868/2023,GISAID; GenBank,EPI_ISL_18384270,OR680195.1,2023-09-06,Grays Harbor County
USA/WA-PHL-034624/2023,GISAID; GenBank,EPI_ISL_18074173,PQ372897.1,2023-07-24,Grays Harbor County
USA/WA-PHL-033042/2023,GISAID; GenBank,EPI_ISL_17509706,PQ372738.1,2023-03-14,Grays Harbor County
USA/WA-PHL-033039/2023,GISAID; GenBank,EPI_ISL_17509704,PQ372736.1,2023-03-14,Grays Harbor County
USA/WA-PHL-035097/2023,GISAID; GenBank,EPI_ISL_18604105,OR957955.1,2023-11-21,Grays Harbor County
USA/WA-PHL-034700/2023,GISAID; GenBank,EPI_ISL_18168724,OR505869.1,2023-08-07,Grays Harbor County
USA/WA-PHL-035124/2023,GISAID; GenBank,EPI_ISL_18703940,PQ385932.1,2023-12-07,Grays Harbor County
USA/WA-PHL-035116/2023,GISAID; GenBank,EPI_ISL_18703933,PQ385924.1,2023-11-27,Grays Harbor County
USA/WA-PHL-033043/2023,GISAID; GenBank,EPI_ISL_17509707,PQ372739.1,2023-03-14,Grays Harbor County
USA/WA-PHL-035195/2024,GISAID; GenBank,EPI_ISL_18856584,PQ143061.1,2024-01-18,Grays Harbor County
USA/WA-PHL-033045/2023,GISAID; GenBank,EPI_ISL_17509709,PQ372741.1,2023-03-14,Grays Harbor County
USA/WA-PHL-035136/2023,GISAID; GenBank,EPI_ISL_18703952,PQ385944.1,2023-12-21,Grays Harbor County
USA/WA-PHL-032720/2023,GISAID; GenBank,EPI_ISL_17012988,PQ372665.1,2023-02-08,Grays Harbor County
USA/WA-PHL-034911/2023,GISAID; GenBank,EPI_ISL_18384310,OR680237.1,2023-09-27,Grays Harbor County
USA/WA-PHL-034971/2023,GISAID; GenBank,EPI_ISL_18524547,OR832271.1,2023-10-10,Grays Harbor County
USA/WA-PHL-033013/2023,GISAID; GenBank,EPI_ISL_17509682,PQ372714.1,2023-03-20,Grays Harbor County
USA/WA-PHL-032725/2023,GISAID; GenBank,EPI_ISL_17012993,PQ372670.1,2023-02-08,Grays Harbor County
USA/WA-PHL-032858/2023,GISAID; GenBank,EPI_ISL_17258756,PQ386086.1,2023-02-15,Grays Harbor County
USA/WA-PHL-032853/2023,GISAID; GenBank,EPI_ISL_17258752,PQ386081.1,2023-02-13,Grays Harbor County
USA/WA-PHL-034586/2023,GISAID; GenBank,EPI_ISL_18055095,PQ403518.1,2023-07-18,Grays Harbor County
USA/WA-PHL-034983/2023,GISAID; GenBank,EPI_ISL_19122228,PP845879.1,2023-08-28,Grays Harbor County
USA/WA-PHL-034850/2023,GISAID; GenBank,EPI_ISL_18384255,OR680179.1,2023-08-31,Grays Harbor County
USA/WA-CDC-UW24021471660/2024,GISAID; GenBank,EPI_ISL_18942412,PP406984.1,2024-02-14,Grays Harbor County
USA/WA-CDC-UW24012505519/2024,GISAID; GenBank,EPI_ISL_18894993,PP320523.1,2024-01-25,Grays Harbor County
USA/WA-PHL-032038/2023,GISAID; GenBank,EPI_ISL_16710765,OQ836035.1,2023-01-06,Grays Harbor County
USA/WA-PHL-034689/2023,GISAID; GenBank,EPI_ISL_18102616,PQ403551.1,2023-08-02,Grays Harbor County
USA/WA-PHL-034691/2023,GISAID; GenBank,EPI_ISL_18102618,PQ403553.1,2023-08-03,Grays Harbor County
USA/WA-PHL-034690/2023,GISAID; GenBank,EPI_ISL_18102617,PQ403552.1,2023-08-03,Grays Harbor County
USA/WA-PHL-033161/2023,GISAID; GenBank,EPI_ISL_17637269,PQ372840.1,2023-04-11,Grays Harbor County
USA/WA-PHL-032854/2023,GISAID; GenBank,EPI_ISL_17258753,PQ386082.1,2023-02-13,Grays Harbor County
USA/WA-CDC-LC1028527/2023,GISAID; GenBank,EPI_ISL_17278967,OQ681778.1,2023-03-09,Grays Harbor County
USA/WA-PHL-034684/2023,GISAID; GenBank,EPI_ISL_18102611,PQ403546.1,2023-07-31,Grays Harbor County
USA/WA-PHL-035276/2024,GISAID; GenBank,EPI_ISL_19122256,PP845910.1,2024-01-23,Grays Harbor County
USA/WA-PHL-033189/2023,,,,2023-04-03,Grays Harbor County
USA/WA-PHL-033104/2023,GISAID; GenBank,EPI_ISL_17509759,PQ372791.1,2023-04-06,Grays Harbor County
USA/WA-PHL-033162/2023,GISAID; GenBank,EPI_ISL_17637270,PQ372841.1,2023-04-18,Grays Harbor County
USA/WA-PHL-034894/2023,GISAID; GenBank,EPI_ISL_18384294,OR680220.1,2023-09-18,Grays Harbor County
USA/WA-PHL-034889/2023,GISAID; GenBank,EPI_ISL_18384289,OR680215.1,2023-09-18,Grays Harbor County
USA/WA-PHL-034622/2023,GISAID; GenBank,EPI_ISL_18074171,PQ372895.1,2023-07-25,Grays Harbor County
USA/WA-PHL-033083/2023,GISAID; GenBank,EPI_ISL_17509739,PQ372775.1,2023-03-28,Grays Harbor County
USA/WA-PHL-034873/2023,GISAID; GenBank,EPI_ISL_18384275,OR680200.1,2023-09-08,Grays Harbor County
USA/WA-PHL-034713/2023,GISAID; GenBank,EPI_ISL_18102633,PQ403575.1,2023-08-07,Grays Harbor County
USA/WA-PHL-035201/2024,GISAID; GenBank,EPI_ISL_18856590,PQ143067.1,2024-01-18,Grays Harbor County
USA/WA-PHL-034620/2023,GISAID; GenBank,EPI_ISL_18074169,PQ372893.1,2023-07-25,Grays Harbor County
USA/WA-PHL-034907/2023,GISAID; GenBank,EPI_ISL_18384306,OR680233.1,2023-09-25,Grays Harbor County
USA/WA-CDC-UW23080250108/2023,GISAID; GenBank,EPI_ISL_18104049,OR439380.1,2023-08-02,Grays Harbor County
USA/WA-CDC-LC1056634/2023,GISAID; GenBank,EPI_ISL_18267728,OR559603.1,2023-08-30,Grays Harbor County
USA/WA-PHL-035189/2024,GISAID; GenBank,EPI_ISL_18856579,PQ143056.1,2024-01-11,Grays Harbor County
USA/WA-PHL-035188/2024,GISAID; GenBank,EPI_ISL_18856578,PQ143055.1,2024-01-11,Grays Harbor County
USA/WA-PHL-033108/2023,GISAID; GenBank,EPI_ISL_17509763,PQ372795.1,2023-04-07,Grays Harbor County
USA/WA-CDC-UW24020934007/2024,GISAID; GenBank,EPI_ISL_18942381,PP388261.1,2024-02-09,Grays Harbor County
USA/WA-PHL-032721/2023,GISAID; GenBank,EPI_ISL_17012989,PQ372666.1,2023-02-09,Grays Harbor County
USA/WA-PHL-034694/2023,GISAID; GenBank,EPI_ISL_18102620,PQ403556.1,2023-08-08,Grays Harbor County
USA/WA-CDC-QDX81183521/2023,GISAID; GenBank,EPI_ISL_17856183,OR125864.1,2023-05-31,Grays Harbor County
USA/WA-PHL-035181/2024,GISAID; GenBank,EPI_ISL_18856571,PQ143048.1,2024-01-08,Grays Harbor County
USA/WA-PHL-034696/2023,GISAID; GenBank,EPI_ISL_18102622,PQ403558.1,2023-08-08,Grays Harbor County
USA/WA-PHL-034715/2023,GISAID; GenBank,EPI_ISL_18102634,PQ403577.1,2023-08-07,Grays Harbor County
USA/WA-PHL-034699/2023,GISAID; GenBank,EPI_ISL_18102624,PQ403561.1,2023-08-07,Grays Harbor County
USA/WA-PHL-032726/2023,GISAID; GenBank,EPI_ISL_17012994,PQ372671.1,2023-02-09,Grays Harbor County
USA/WA-PHL-035291/2024,GISAID; GenBank,EPI_ISL_19122270,PP845924.1,2024-03-29,Grays Harbor County
USA/WA-PHL-033103/2023,GISAID; GenBank,EPI_ISL_17509758,PQ372790.1,2023-04-06,Grays Harbor County
USA/WA-PHL-032986/2023,GISAID; GenBank,EPI_ISL_17258779,PQ386172.1,2023-03-01,Grays Harbor County
USA/WA-PHL-032519/2023,GISAID; GenBank,EPI_ISL_17012823,PQ372492.1,2023-01-30,Grays Harbor County
USA/WA-PHL-032990/2023,GISAID; GenBank,EPI_ISL_17258783,PQ386176.1,2023-03-02,Grays Harbor County
USA/WA-PHL-035283/2024,GISAID; GenBank,EPI_ISL_19122262,PP845916.1,2024-03-08,Grays Harbor County
USA/WA-PHL-034852/2023,GISAID; GenBank,EPI_ISL_18384257,OR680181.1,2023-08-31,Grays Harbor County
USA/WA-PHL-035190/2024,GISAID; GenBank,EPI_ISL_18856580,PQ143057.1,2024-01-16,Grays Harbor County
USA/WA-PHL-034629/2023,GISAID; GenBank,EPI_ISL_18074178,PQ372902.1,2023-07-26,Grays Harbor County
USA/WA-PHL-035278/2024,GISAID; GenBank,EPI_ISL_19122258,PP845912.1,2024-02-22,Grays Harbor County
USA/WA-PHL-034633/2023,GISAID; GenBank,EPI_ISL_18074182,PQ372906.1,2023-07-27,Grays Harbor County
USA/WA-PHL-033016/2023,GISAID; GenBank,EPI_ISL_17509685,PQ372716.1,2023-03-08,Grays Harbor County
USA/WA-CDC-QDX45593471/2023,GISAID; GenBank,EPI_ISL_16729533,OQ347703.1,2023-01-13,Grays Harbor County
USA/WA-CDC-UW23032003104/2023,GISAID; GenBank,EPI_ISL_17395858,OQ833251.1,2023-03-20,Grays Harbor County
USA/WA-PHL-032867/2023,GISAID; GenBank,EPI_ISL_17258763,PQ386095.1,2023-02-21,Grays Harbor County
USA/WA-PHL-035171/2024,GISAID; GenBank,EPI_ISL_18856562,PQ143039.1,2024-01-04,Grays Harbor County
USA/WA-CDC-UW23032855865/2023,GISAID; GenBank,EPI_ISL_17431155,OQ799151.1,2023-03-28,Grays Harbor County
USA/WA-PHL-034864/2023,GISAID; GenBank,EPI_ISL_18384267,OR680192.1,2023-09-05,Grays Harbor County
USA/WA-PHL-035167/2024,GISAID; GenBank,EPI_ISL_18856560,PQ143037.1,2024-01-03,Grays Harbor County
USA/WA-PHL-035285/2024,GISAID; GenBank,EPI_ISL_19122264,PP845918.1,2024-03-15,Grays Harbor County
USA/WA-PHL-035208/2024,GISAID; GenBank,EPI_ISL_18856596,PQ143073.1,2024-01-22,Grays Harbor County
USA/WA-PHL-034719/2023,GISAID; GenBank,EPI_ISL_18102638,PQ403581.1,2023-08-07,Grays Harbor County
USA/WA-PHL-035200/2024,GISAID; GenBank,EPI_ISL_18856589,PQ143066.1,2024-01-19,Grays Harbor County
USA/WA-PHL-034593/2023,GISAID; GenBank,EPI_ISL_18055100,PQ403525.1,2023-07-19,Grays Harbor County
USA/WA-PHL-034705/2023,GISAID; GenBank,EPI_ISL_18102628,PQ403567.1,2023-08-07,Grays Harbor County
USA/WA-PHL-034908/2023,GISAID; GenBank,EPI_ISL_18384307,OR680234.1,2023-09-25,Grays Harbor County
USA/WA-CDC-UW24020183712/2024,GISAID; GenBank,EPI_ISL_18895643,PP335277.1,2024-02-01,Grays Harbor County
USA/WA-PHL-035318/2024,,,,2024-05-07,Grays Harbor County
USA/WA-PHL-035132/2023,GISAID; GenBank,EPI_ISL_18703948,PQ385940.1,2023-12-14,Grays Harbor County
USA/WA-PHL-033012/2023,GISAID; GenBank,EPI_ISL_17509681,PQ372713.1,2023-03-20,Grays Harbor County
USA/WA-PHL-033540/2023,GISAID; GenBank,EPI_ISL_17998753,PQ372867.1,2023-06-21,Grays Harbor County
USA/WA-PHL-034679/2023,GISAID; GenBank,EPI_ISL_18102608,PQ403542.1,2023-07-28,Grays Harbor County
USA/WA-PHL-033889/2023,,,,2023-03-20,Grays Harbor County
USA/WA-PHL-034771/2023,GISAID; GenBank,EPI_ISL_18168738,OR505909.1,2023-08-14,Grays Harbor County
USA/WA-PHL-032868/2023,GISAID; GenBank,EPI_ISL_17258764,PQ386096.1,2023-02-21,Grays Harbor County
USA/WA-PHL-033190/2023,GISAID; GenBank,EPI_ISL_18040103,OR098815.1,2023-05-11,Grays Harbor County
USA/WA-CDC-QDX46276316/2023,GISAID; GenBank,EPI_ISL_16936358,OQ441725.1,2023-01-30,Grays Harbor County
USA/WA-PHL-034685/2023,GISAID; GenBank,EPI_ISL_18102612,PQ403547.1,2023-07-31,Grays Harbor County
USA/WA-PHL-032877/2023,GISAID; GenBank,EPI_ISL_17258773,PQ386105.1,2023-02-21,Grays Harbor County
USA/WA-PHL-035290/2024,GISAID; GenBank,EPI_ISL_19122269,PP845923.1,2024-03-29,Grays Harbor County
USA/WA-PHL-035129/2023,GISAID; GenBank,EPI_ISL_18703945,PQ385937.1,2023-12-13,Grays Harbor County
USA/WA-PHL-033071/2023,GISAID; GenBank,EPI_ISL_17509729,PQ372765.1,2023-03-23,Grays Harbor County
USA/WA-PHL-035292/2024,GISAID; GenBank,EPI_ISL_19122271,PP845925.1,2024-04-04,Grays Harbor County
USA/WA-PHL-032850/2023,GISAID; GenBank,EPI_ISL_17258749,PQ386078.1,2023-02-13,Grays Harbor County
USA/WA-PHL-035185/2024,GISAID; GenBank,EPI_ISL_18856575,PQ143052.1,2024-01-08,Grays Harbor County
USA/WA-UW-24022149014/2024,GISAID; GenBank,EPI_ISL_19138353,PP496932.1,2024-02-21,Grays Harbor County
USA/WA-PHL-032987/2023,GISAID; GenBank,EPI_ISL_17258780,PQ386173.1,2023-03-01,Grays Harbor County
USA/WA-PHL-034869/2023,GISAID; GenBank,EPI_ISL_18384271,OR680196.1,2023-09-07,Grays Harbor County
USA/WA-PHL-033102/2023,GISAID; GenBank,EPI_ISL_17509757,PQ372789.1,2023-04-06,Grays Harbor County
USA/WA-PHL-034573/2023,GISAID; GenBank,EPI_ISL_18055086,PQ403505.1,2023-07-06,Grays Harbor County
USA/WA-PHL-034625/2023,GISAID; GenBank,EPI_ISL_18074174,PQ372898.1,2023-07-25,Grays Harbor County
USA/WA-PHL-033535/2023,GISAID; GenBank,EPI_ISL_17998748,PQ372862.1,2023-06-06,Grays Harbor County
USA/WA-PHL-034860/2023,GISAID; GenBank,EPI_ISL_18384263,OR680188.1,2023-09-01,Grays Harbor County
USA/WA-UW-24020509997/2024,GISAID; GenBank,EPI_ISL_19138325,PP492616.1,2024-02-05,Grays Harbor County
USA/WA-PHL-035125/2023,GISAID; GenBank,EPI_ISL_18703941,PQ385933.1,2023-12-07,Grays Harbor County
USA/WA-PHL-032991/2023,GISAID; GenBank,EPI_ISL_17258784,PQ386177.1,2023-03-03,Grays Harbor County
USA/WA-PHL-035156/2024,GISAID; GenBank,EPI_ISL_19122229,PP845880.1,2024-01-03,Grays Harbor County
USA/WA-PHL-035275/2024,GISAID; GenBank,EPI_ISL_19122255,PP845909.1,2024-01-23,Grays Harbor County
