SEQUENCE_GISAID_STRAIN,SEQUENCE_REPOSITORY,SEQUENCE_GISAID_ACCESSION,SEQUENCE_GENBANK_ACCESSION,SEQUENCE_SPECIMEN_COLLECTION_DATE,COUNTY_NAME
USA/WA-CDC-UW23032818404/2023,GISAID; GenBank,EPI_ISL_17395668,OQ833521.1,2023-03-28,King County
USA/WA-S24294/2023,GISAID; GenBank,EPI_ISL_18720239,PP082173.1,2023-09-14,King County
USA/WA-UW-23022712971/2023,GISAID; GenBank,EPI_ISL_17579720,OQ592841.1,2023-02-27,King County
USA/WA-S24308/2023,GISAID; GenBank,EPI_ISL_18720253,PP082187.1,2023-09-18,King County
USA/WA-CDC-UW23022770447/2023,GISAID; GenBank,EPI_ISL_17145661,OQ589433.1,2023-02-27,King County
USA/WA-CDC-UW23032138011/2023,GISAID; GenBank,EPI_ISL_17395839,OQ833285.1,2023-03-21,King County
USA/WA-UW-23022724659/2023,GISAID; GenBank,EPI_ISL_17579487,OQ592842.1,2023-02-27,King County
USA/WA-PHL-032965/2023,GISAID; GenBank,EPI_ISL_17258790,PQ386153.1,2023-02-27,King County
USA/WA-CDC-UW23050780752/2023,GISAID; GenBank,EPI_ISL_17676349,OQ997329.1,2023-05-07,King County
USA/WA-CDC-UW23032130848/2023,GISAID; GenBank,EPI_ISL_17395838,OQ833279.1,2023-03-21,King County
USA/WA-PHL-032966/2023,GISAID; GenBank,EPI_ISL_17258791,PQ386154.1,2023-02-27,King County
USA/WA-PHL-032971/2023,GISAID; GenBank,EPI_ISL_17509669,PQ372705.1,2023-02-27,King County
USA/WA-CDC-UW23021152180/2023,GISAID; GenBank,EPI_ISL_16999649,OQ472765.1,2023-02-11,King County
USA/WA-CDC-LC1024874/2023,GISAID; GenBank,EPI_ISL_17236653,OQ642402.1,2023-02-26,King County
USA/WA-PHL-032488/2023,GISAID; GenBank,EPI_ISL_17012793,PQ372461.1,2023-01-23,King County
USA/WA-CDC-UW23032188269/2023,GISAID; GenBank,EPI_ISL_17395841,OQ833291.1,2023-03-21,King County
USA/WA-CDC-LC1024869/2023,GISAID; GenBank,EPI_ISL_17236728,OQ642461.1,2023-02-27,King County
USA/WA-UW-23021033206/2023,GISAID; GenBank,EPI_ISL_17579511,OQ503940.1,2023-02-10,King County
USA/WA-UW-23021077045/2023,GISAID; GenBank,EPI_ISL_17579464,OQ503956.1,2023-02-10,King County
USA/WA-S22808/2023,GISAID; GenBank,EPI_ISL_17395167,OQ738367.1,2023-02-26,King County
USA/WA-CDC-UW23050845479/2023,GISAID; GenBank,EPI_ISL_17676334,OQ997342.1,2023-05-08,King County
USA/WA-CDC-UW23050839824/2023,GISAID; GenBank,EPI_ISL_17676339,OQ997341.1,2023-05-08,King County
USA/WA-S22822/2023,GISAID; GenBank,EPI_ISL_17395180,OQ738377.1,2023-02-28,King County
USA/WA-CDC-UW23032186900/2023,GISAID; GenBank,EPI_ISL_17395812,OQ833278.1,2023-03-21,King County
USA/WA-S23839/2023,GISAID; GenBank,EPI_ISL_18304349,OR597109.1,2023-03-01,King County
USA/WA-PHL-032819/2023,GISAID; GenBank,EPI_ISL_17258599,PQ386052.1,2023-02-09,King County
USA/WA-PHL-032817/2023,GISAID; GenBank,EPI_ISL_17258597,PQ386050.1,2023-02-09,King County
USA/WA-UW-23032060045/2023,GISAID; GenBank,EPI_ISL_17760237,OQ704081.1,2023-03-20,King County
USA/WA-CDC-UW23032776410/2023,GISAID; GenBank,EPI_ISL_17395720,OQ833489.1,2023-03-27,King County
USA/WA-UW-23030121855/2023,,,,2023-03-01,King County
USA/WA-CDC-UW23021177587/2023,GISAID; GenBank,EPI_ISL_16999644,OQ472763.1,2023-02-11,King County
USA/WA-CDC-UW23032139691/2023,GISAID; GenBank,EPI_ISL_17395831,OQ833267.1,2023-03-21,King County
USA/WA-CDC-UW23022842972/2023,GISAID; GenBank,EPI_ISL_17198466,OQ619208.1,2023-02-28,King County
USA/WA-CDC-UW23022822775/2023,GISAID; GenBank,EPI_ISL_17198455,OQ619207.1,2023-02-28,King County
USA/WA-CDC-UW23032141750/2023,GISAID; GenBank,EPI_ISL_17395814,OQ833269.1,2023-03-21,King County
USA/WA-CDC-UW23050980809/2023,GISAID; GenBank,EPI_ISL_17676319,OQ997355.1,2023-05-09,King County
USA/WA-UW-24012003894/2024,GISAID; GenBank,EPI_ISL_19138431,PP492644.1,2024-01-20,King County
USA/WA-CDC-UW23050997376/2023,GISAID; GenBank,EPI_ISL_17676318,OQ997354.1,2023-05-09,King County
USA/WA-CDC-UW23032122332/2023,GISAID; GenBank,EPI_ISL_17395837,OQ833260.1,2023-03-21,King County
USA/WA-CDC-UW23022892629/2023,GISAID; GenBank,EPI_ISL_17205182,OQ625964.1,2023-02-28,King County
USA/WA-CDC-UW23022818031/2023,GISAID; GenBank,EPI_ISL_17198445,OQ619196.1,2023-02-28,King County
USA/WA-CDC-UW23032134945/2023,GISAID; GenBank,EPI_ISL_17395822,OQ833268.1,2023-03-21,King County
USA/WA-CDC-UW23022802344/2023,GISAID; GenBank,EPI_ISL_17198465,OQ619209.1,2023-02-28,King County
USA/WA-CDC-UW23102587990/2023,GISAID; GenBank,EPI_ISL_18533840,OR815604.1,2023-10-25,King County
USA/WA-CDC-UW23022801393/2023,GISAID; GenBank,EPI_ISL_17198444,OQ619198.1,2023-02-28,King County
USA/WA-CDC-UW23022833371/2023,GISAID; GenBank,EPI_ISL_17198463,OQ619211.1,2023-02-28,King County
USA/WA-CDC-UW23033171201/2023,GISAID; GenBank,EPI_ISL_17431089,OQ799223.1,2023-03-31,King County
USA/WA-CDC-UW23032197434/2023,GISAID; GenBank,EPI_ISL_17395808,OQ833273.1,2023-03-21,King County
USA/WA-CDC-UW23032132085/2023,GISAID; GenBank,EPI_ISL_17395818,OQ833282.1,2023-03-21,King County
USA/WA-UW-23021177280/2023,GISAID; GenBank,EPI_ISL_17579778,OQ503923.1,2023-02-11,King County
USA/WA-CDC-UW23022827062/2023,GISAID; GenBank,EPI_ISL_17198441,OQ619201.1,2023-02-28,King County
USA/WA-UW-23021296182/2023,GISAID; GenBank,EPI_ISL_17579810,OQ503954.1,2023-02-12,King County
USA/WA-UW-23021151764/2023,GISAID; GenBank,EPI_ISL_17579476,OQ503952.1,2023-02-11,King County
USA/WA-CDC-UW23051046519/2023,GISAID; GenBank,EPI_ISL_17676312,OQ997377.1,2023-05-10,King County
USA/WA-CDC-UW23022879870/2023,GISAID; GenBank,EPI_ISL_17198461,OQ619213.1,2023-02-28,King County
USA/WA-CDC-LC1063837/2023,GISAID; GenBank,EPI_ISL_18369026,OR649347.1,2023-09-19,King County
USA/WA-UW-23021136274/2023,GISAID; GenBank,EPI_ISL_17580064,OQ503867.1,2023-02-11,King County
USA/WA-UW-23051161484/2023,GISAID; GenBank,EPI_ISL_17986003,OR142208.1,2023-05-11,King County
USA/WA-UW-23051195738/2023,GISAID; GenBank,EPI_ISL_17985960,OR142219.1,2023-05-11,King County
USA/WA-CDC-UW23022834326/2023,GISAID; GenBank,EPI_ISL_17198464,OQ619210.1,2023-02-28,King County
USA/WA-CDC-UW23022894652/2023,GISAID; GenBank,EPI_ISL_17198449,OQ619193.1,2023-02-28,King County
USA/WA-CDC-UW23022882390/2023,GISAID; GenBank,EPI_ISL_17198443,OQ619199.1,2023-02-28,King County
USA/WA-UW-23032904479/2023,GISAID; GenBank,EPI_ISL_17760251,OQ851703.1,2023-03-29,King County
USA/WA-S24309/2023,GISAID; GenBank,EPI_ISL_18720254,PP082188.1,2023-09-18,King County
USA/WA-CDC-UW23030378897/2023,GISAID; GenBank,EPI_ISL_17198405,OQ619276.1,2023-03-03,King County
USA/WA-UW-23021196253/2023,GISAID; GenBank,EPI_ISL_17579384,OQ503888.1,2023-02-11,King County
USA/WA-CDC-UW23032299368/2023,GISAID; GenBank,EPI_ISL_17394915,OQ833334.1,2023-03-22,King County
USA/WA-CDC-UW23032224076/2023,GISAID; GenBank,EPI_ISL_17394917,OQ833336.1,2023-03-22,King County
USA/WA-PHL-032972/2023,GISAID; GenBank,EPI_ISL_17258793,PQ386159.1,2023-03-01,King County
USA/WA-CDC-UW24012385511/2024,GISAID; GenBank,EPI_ISL_18858929,PP237441.1,2024-01-23,King County
USA/WA-CDC-UW24012213098/2024,GISAID; GenBank,EPI_ISL_18858923,PP237436.1,2024-01-22,King County
USA/WA-CDC-UW23032230201/2023,GISAID; GenBank,EPI_ISL_17394919,OQ833338.1,2023-03-22,King County
USA/WA-ASC-210884089/2023,GISAID,EPI_ISL_17211949,,2023-02-27,King County
USA/WA-CDC-UW23032266548/2023,GISAID; GenBank,EPI_ISL_17395804,OQ833312.1,2023-03-22,King County
USA/WA-CDC-UW23030760108/2023,GISAID; GenBank,EPI_ISL_17253312,OQ674583.1,2023-03-07,King County
